Quarter,Month,Week,Product Type,Territory,Sales Channel,Customer Type,Revenue,Cost
Q1/2011,11-Jan,W1-2011,Computers & Tablets,North America,Direct,Entertainment Venues,10130,20809
Q1/2011,11-Jan,W1-2011,TV & Home Theatre,North America,Direct,Entertainment Venues,411,356
Q1/2011,11-Jan,W1-2011,Cameras,North America,Internet,Branded Stores,5137,5695
Q1/2011,11-Jan,W1-2011,Mobile,North America,Retail,Entertainment Venues,455,413
Q1/2011,11-Jan,W1-2011,Office Supplies,North America,Internet,Branded Stores,68936,40628
Q1/2011,11-Jan,W1-2011,Repairs,North America,Internet,Retail,12350,10849
Q1/2011,11-Jan,W2-2011,Computers & Tablets,North America,Direct,Entertainment Venues,11764,16063
Q1/2011,11-Jan,W2-2011,Computers & Tablets,North America,Direct,Retail,4088,11450
Q1/2011,11-Jan,W2-2011,Computers & Tablets,North America,Internet,Entertainment Venues,5203,5630
Q1/2011,11-Jan,W2-2011,Computers & Tablets,North America,Internet,Branded Stores,15392,17557
Q1/2011,11-Jan,W2-2011,Computers & Tablets,North America,Internet,Retail,80957,90161
Q1/2011,11-Jan,W2-2011,Computers & Tablets,North America,Retail,Entertainment Venues,1563,1760
Q1/2011,11-Jan,W2-2011,Computers & Tablets,North America,Retail,Retail,2191,4166
Q1/2011,11-Jan,W2-2011,TV & Home Theatre,North America,Internet,Internet Direct,2447,953
Q1/2011,11-Jan,W2-2011,TV & Home Theatre,North America,Retail,Retail,15695,49800
Q1/2011,11-Jan,W2-2011,Cameras,North America,Internet,Entertainment Venues,131,86
Q1/2011,11-Jan,W2-2011,Cameras,North America,Retail,Internet Direct,19746,20734
Q1/2011,11-Jan,W2-2011,Mobile,North America,Direct,Entertainment Venues,1216,1262
Q1/2011,11-Jan,W2-2011,Mobile,North America,Retail,Branded Stores,45451,81149
Q1/2011,11-Jan,W2-2011,Mobile,North America,Retail,Retail,3161,6603
Q1/2011,11-Jan,W2-2011,Office Supplies,North America,Direct,Branded Stores,10656,10492
Q1/2011,11-Jan,W2-2011,Office Supplies,North America,Direct,Retail,2359,3819
Q1/2011,11-Jan,W2-2011,Office Supplies,North America,Internet,Entertainment Venues,217,103
Q1/2011,11-Jan,W2-2011,Office Supplies,North America,Internet,Retail,39020,44550
Q1/2011,11-Jan,W2-2011,Repairs,North America,Retail,Branded Stores,22588,17399
Q1/2011,11-Jan,W2-2011,Portable Electronics,North America,Internet,Retail,518,788
Q1/2011,11-Jan,W3-2011,Computers & Tablets,North America,Direct,Entertainment Venues,3152,5222
Q1/2011,11-Jan,W3-2011,Computers & Tablets,North America,Direct,Retail,8184,20317
Q1/2011,11-Jan,W3-2011,Computers & Tablets,North America,Retail,Branded Stores,23586,51333
Q1/2011,11-Jan,W3-2011,TV & Home Theatre,North America,Retail,Entertainment Venues,6551,7963
Q1/2011,11-Jan,W3-2011,Cameras,North America,Direct,Entertainment Venues,16010,16921
Q1/2011,11-Jan,W3-2011,Cameras,North America,Internet,Retail,2714,4546
Q1/2011,11-Jan,W3-2011,Cameras,North America,Retail,Entertainment Venues,1998,2504
Q1/2011,11-Jan,W3-2011,Cameras,North America,Retail,Branded Stores,3293,6591
Q1/2011,11-Jan,W3-2011,Cameras,North America,Retail,Internet Direct,34728,25015
Q1/2011,11-Jan,W3-2011,Mobile,North America,Direct,Entertainment Venues,23241,14818
Q1/2011,11-Jan,W3-2011,Mobile,North America,Internet,Retail,12373,10955
Q1/2011,11-Jan,W3-2011,Mobile,North America,Retail,Internet Direct,5890,4471
Q1/2011,11-Jan,W3-2011,Office Supplies,North America,Direct,Entertainment Venues,734,484
Q1/2011,11-Jan,W3-2011,Office Supplies,North America,Internet,Entertainment Venues,5641,1867
Q1/2011,11-Jan,W3-2011,Office Supplies,North America,Retail,Entertainment Venues,3634,2107
Q1/2011,11-Jan,W3-2011,Repairs,North America,Internet,Entertainment Venues,5120,1975
Q1/2011,11-Jan,W3-2011,Portable Electronics,North America,Direct,Retail,236,312
Q1/2011,11-Jan,W3-2011,Portable Electronics,North America,Internet,Internet Direct,6581,3690
Q1/2011,11-Jan,W4-2011,Computers & Tablets,North America,Direct,Entertainment Venues,5838,8763
Q1/2011,11-Jan,W4-2011,Computers & Tablets,North America,Direct,Branded Stores,7274,20028
Q1/2011,11-Jan,W4-2011,Computers & Tablets,North America,Direct,Retail,31776,90151
Q1/2011,11-Jan,W4-2011,Computers & Tablets,North America,Internet,Retail,1275,2000
Q1/2011,11-Jan,W4-2011,TV & Home Theatre,North America,Internet,Retail,2259,3587
Q1/2011,11-Jan,W4-2011,TV & Home Theatre,North America,Retail,Retail,4619,14465
Q1/2011,11-Jan,W4-2011,Cameras,North America,Direct,Entertainment Venues,25601,26553
Q1/2011,11-Jan,W4-2011,Mobile,North America,Direct,Entertainment Venues,2182,1823
Q1/2011,11-Jan,W4-2011,Mobile,North America,Direct,Retail,5989,7311
Q1/2011,11-Jan,W4-2011,Mobile,North America,Internet,Entertainment Venues,28448,16907
Q1/2011,11-Jan,W4-2011,Mobile,North America,Internet,Retail,1623,1796
Q1/2011,11-Jan,W4-2011,Mobile,North America,Retail,Retail,2093,5123
Q1/2011,11-Jan,W4-2011,Office Supplies,North America,Direct,Entertainment Venues,7678,5726
Q1/2011,11-Jan,W4-2011,Office Supplies,North America,Internet,Entertainment Venues,133,43
Q1/2011,11-Jan,W4-2011,Office Supplies,North America,Retail,Retail,8033,12019
Q1/2011,11-Jan,W4-2011,Repairs,North America,Internet,Entertainment Venues,33784,11489
Q1/2011,11-Jan,W4-2011,Portable Electronics,North America,Direct,Entertainment Venues,19953,16943
Q1/2011,11-Jan,W4-2011,Portable Electronics,North America,Direct,Internet Direct,27651,11225
Q1/2011,11-Jan,W4-2011,Portable Electronics,North America,Internet,Retail,1279,1686
Q1/2011,11-Jan,W4-2011,Portable Electronics,North America,Retail,Branded Stores,29486,39755
Q1/2011,11-Jan,W5-2011,Computers & Tablets,North America,Direct,Entertainment Venues,351,414
Q1/2011,11-Jan,W5-2011,Computers & Tablets,North America,Internet,Entertainment Venues,840,624
Q1/2011,11-Jan,W5-2011,Computers & Tablets,North America,Internet,Branded Stores,326,390
Q1/2011,11-Jan,W5-2011,TV & Home Theatre,North America,Internet,Entertainment Venues,11541,6065
Q1/2011,11-Jan,W5-2011,TV & Home Theatre,North America,Retail,Entertainment Venues,250,363
Q1/2011,11-Jan,W5-2011,Cameras,North America,Direct,Retail,12762,27605
Q1/2011,11-Jan,W5-2011,Cameras,North America,Internet,Entertainment Venues,9909,6499
Q1/2011,11-Jan,W5-2011,Cameras,North America,Retail,Entertainment Venues,9859,16558
Q1/2011,11-Jan,W5-2011,Mobile,North America,Internet,Entertainment Venues,22146,17049
Q1/2011,11-Jan,W5-2011,Mobile,North America,Retail,Entertainment Venues,835,1148
Q1/2011,11-Jan,W5-2011,Mobile,North America,Retail,Internet Direct,41134,23028
Q1/2011,11-Jan,W5-2011,Office Supplies,North America,Direct,Entertainment Venues,2203,1587
Q1/2011,11-Jan,W5-2011,Office Supplies,North America,Internet,Retail,360,306
Q1/2011,11-Jan,W5-2011,Office Supplies,North America,Retail,Entertainment Venues,14411,12001
Q1/2011,11-Jan,W5-2011,Portable Electronics,North America,Direct,Entertainment Venues,803,910
Q1/2011,11-Jan,W5-2011,Portable Electronics,North America,Retail,Entertainment Venues,11040,11776
Q1/2011,11-Jan,W5-2011,Portable Electronics,North America,Retail,Internet Direct,45131,39383
Q1/2011,11-Jan,W6-2011,TV & Home Theatre,North America,Retail,Retail,291,888
Q1/2011,11-Jan,W6-2011,Mobile,North America,Direct,Entertainment Venues,6612,5359
Q1/2011,11-Feb,W6-2011,Computers & Tablets,North America,Direct,Retail,7128,18847
Q1/2011,11-Feb,W6-2011,Computers & Tablets,North America,Retail,Entertainment Venues,2534,2361
Q1/2011,11-Feb,W6-2011,Computers & Tablets,North America,Retail,Retail,37297,75311
Q1/2011,11-Feb,W6-2011,TV & Home Theatre,North America,Direct,Entertainment Venues,4875,3871
Q1/2011,11-Feb,W6-2011,TV & Home Theatre,North America,Internet,Branded Stores,16490,13173
Q1/2011,11-Feb,W6-2011,Cameras,North America,Internet,Retail,1490,2087
Q1/2011,11-Feb,W6-2011,Mobile,North America,Direct,Entertainment Venues,1167,547
Q1/2011,11-Feb,W6-2011,Mobile,North America,Internet,Entertainment Venues,6117,2676
Q1/2011,11-Feb,W6-2011,Mobile,North America,Internet,Retail,1816,2087
Q1/2011,11-Feb,W6-2011,Mobile,North America,Retail,Retail,36392,54308
Q1/2011,11-Feb,W6-2011,Office Supplies,North America,Internet,Entertainment Venues,6902,2387
Q1/2011,11-Feb,W6-2011,Repairs,North America,Internet,Retail,21878,11516
Q1/2011,11-Feb,W6-2011,Portable Electronics,North America,Internet,Entertainment Venues,8061,2843
Q1/2011,11-Feb,W6-2011,Portable Electronics,North America,Internet,Branded Stores,36009,25896
Q1/2011,11-Feb,W6-2011,Portable Electronics,North America,Internet,Retail,5900,4914
Q1/2011,11-Feb,W7-2011,Computers & Tablets,North America,Direct,Entertainment Venues,8724,9153
Q1/2011,11-Feb,W7-2011,Computers & Tablets,North America,Direct,Retail,14370,41650
Q1/2011,11-Feb,W7-2011,Computers & Tablets,North America,Internet,Entertainment Venues,12313,6353
Q1/2011,11-Feb,W7-2011,Computers & Tablets,North America,Retail,Entertainment Venues,31490,36486
Q1/2011,11-Feb,W7-2011,Computers & Tablets,North America,Retail,Branded Stores,12146,12999
Q1/2011,11-Feb,W7-2011,TV & Home Theatre,North America,Direct,Entertainment Venues,676,656
Q1/2011,11-Feb,W7-2011,TV & Home Theatre,North America,Internet,Entertainment Venues,1002,622
Q1/2011,11-Feb,W7-2011,Cameras,North America,Internet,Entertainment Venues,10964,7567
Q1/2011,11-Feb,W7-2011,Mobile,North America,Retail,Entertainment Venues,4128,3730
Q1/2011,11-Feb,W7-2011,Office Supplies,North America,Direct,Entertainment Venues,1878,933
Q1/2011,11-Feb,W7-2011,Office Supplies,North America,Internet,Retail,10571,7533
Q1/2011,11-Feb,W7-2011,Office Supplies,North America,Retail,Entertainment Venues,3627,1538
Q1/2011,11-Feb,W7-2011,Office Supplies,North America,Retail,Internet Direct,30581,9607
Q1/2011,11-Feb,W7-2011,Portable Electronics,North America,Direct,Entertainment Venues,5665,4399
Q1/2011,11-Feb,W7-2011,Portable Electronics,North America,Direct,Retail,797,1170
Q1/2011,11-Feb,W7-2011,Portable Electronics,North America,Direct,Internet Direct,23456,11323
Q1/2011,11-Feb,W7-2011,Portable Electronics,North America,Internet,Entertainment Venues,2291,1671
Q1/2011,11-Feb,W7-2011,Portable Electronics,North America,Internet,Retail,3727,2955
Q1/2011,11-Feb,W8-2011,Computers & Tablets,North America,Direct,Branded Stores,26938,28848
Q1/2011,11-Feb,W8-2011,Computers & Tablets,North America,Internet,Entertainment Venues,27839,20026
Q1/2011,11-Feb,W8-2011,Computers & Tablets,North America,Internet,Retail,1001,1096
Q1/2011,11-Feb,W8-2011,TV & Home Theatre,North America,Direct,Retail,31035,38718
Q1/2011,11-Feb,W8-2011,Cameras,North America,Internet,Branded Stores,511,474
Q1/2011,11-Feb,W8-2011,Mobile,North America,Direct,Branded Stores,205,253
Q1/2011,11-Feb,W8-2011,Mobile,North America,Direct,Retail,408,442
Q1/2011,11-Feb,W8-2011,Mobile,North America,Internet,Entertainment Venues,6754,2914
Q1/2011,11-Feb,W8-2011,Mobile,North America,Internet,Branded Stores,14794,9508
Q1/2011,11-Feb,W8-2011,Office Supplies,North America,Direct,Entertainment Venues,3006,1544
Q1/2011,11-Feb,W8-2011,Office Supplies,North America,Direct,Branded Stores,24394,19758
Q1/2011,11-Feb,W8-2011,Office Supplies,North America,Direct,Retail,7504,6965
Q1/2011,11-Feb,W8-2011,Office Supplies,North America,Internet,Entertainment Venues,17249,7918
Q1/2011,11-Feb,W8-2011,Office Supplies,North America,Internet,Branded Stores,20349,13188
Q1/2011,11-Feb,W8-2011,Repairs,North America,Direct,Entertainment Venues,10033,2841
Q1/2011,11-Feb,W8-2011,Portable Electronics,North America,Direct,Entertainment Venues,1291,937
Q1/2011,11-Feb,W8-2011,Portable Electronics,North America,Internet,Entertainment Venues,7898,3765
Q1/2011,11-Feb,W9-2011,Computers & Tablets,North America,Internet,Entertainment Venues,31149,20617
Q1/2011,11-Feb,W9-2011,Computers & Tablets,North America,Internet,Internet Direct,17150,6510
Q1/2011,11-Feb,W9-2011,Computers & Tablets,North America,Retail,Retail,14880,29943
Q1/2011,11-Feb,W9-2011,TV & Home Theatre,North America,Direct,Entertainment Venues,29503,21585
Q1/2011,11-Feb,W9-2011,TV & Home Theatre,North America,Internet,Branded Stores,153241,100273
Q1/2011,11-Feb,W9-2011,TV & Home Theatre,North America,Retail,Branded Stores,109689,131375
Q1/2011,11-Feb,W9-2011,TV & Home Theatre,North America,Retail,Retail,11979,22644
Q1/2011,11-Feb,W9-2011,Cameras,North America,Direct,Entertainment Venues,628,495
Q1/2011,11-Feb,W9-2011,Cameras,North America,Internet,Entertainment Venues,5073,3166
Q1/2011,11-Feb,W9-2011,Cameras,North America,Internet,Retail,36192,54387
Q1/2011,11-Feb,W9-2011,Cameras,North America,Retail,Retail,13466,19661
Q1/2011,11-Feb,W9-2011,Cameras,North America,Retail,Internet Direct,101025,83434
Q1/2011,11-Feb,W9-2011,Mobile,North America,Direct,Entertainment Venues,558,346
Q1/2011,11-Feb,W9-2011,Mobile,North America,Direct,Retail,1641,2436
Q1/2011,11-Feb,W9-2011,Mobile,North America,Internet,Retail,14444,10621
Q1/2011,11-Feb,W9-2011,Mobile,North America,Retail,Entertainment Venues,2876,2373
Q1/2011,11-Feb,W9-2011,Mobile,North America,Retail,Retail,8020,16374
Q1/2011,11-Feb,W9-2011,Office Supplies,North America,Direct,Retail,807,588
Q1/2011,11-Feb,W9-2011,Office Supplies,North America,Internet,Entertainment Venues,14178,6143
Q1/2011,11-Feb,W9-2011,Office Supplies,North America,Internet,Retail,25288,17811
Q1/2011,11-Feb,W9-2011,Office Supplies,North America,Retail,Entertainment Venues,676,522
Q1/2011,11-Feb,W9-2011,Portable Electronics,North America,Direct,Retail,12867,19880
Q1/2011,11-Feb,W9-2011,Portable Electronics,North America,Direct,Internet Direct,3430,1467
Q1/2011,11-Feb,W9-2011,Portable Electronics,North America,Internet,Retail,4065,4871
Q1/2011,11-Feb,W9-2011,Portable Electronics,North America,Retail,Retail,14306,25502
Q1/2011,11-Feb,W10-2011,Computers & Tablets,North America,Internet,Entertainment Venues,13105,10280
Q1/2011,11-Feb,W10-2011,TV & Home Theatre,North America,Direct,Entertainment Venues,906,564
Q1/2011,11-Feb,W10-2011,Cameras,North America,Internet,Entertainment Venues,691,321
Q1/2011,11-Feb,W10-2011,Mobile,North America,Internet,Retail,1176,1589
Q1/2011,11-Feb,W10-2011,Mobile,North America,Retail,Entertainment Venues,20642,23014
Q1/2011,11-Feb,W10-2011,Repairs,North America,Direct,Retail,2777,1792
Q1/2011,11-Feb,W10-2011,Repairs,North America,Internet,Retail,15846,6153
Q1/2011,11-Feb,W10-2011,Repairs,North America,Retail,Internet Direct,67379,14117
Q1/2011,11-Mar,W10-2011,Computers & Tablets,North America,Retail,Retail,44739,97899
Q1/2011,11-Mar,W10-2011,Cameras,North America,Direct,Entertainment Venues,32676,26318
Q1/2011,11-Mar,W10-2011,Cameras,North America,Internet,Retail,16557,22531
Q1/2011,11-Mar,W10-2011,Office Supplies,North America,Internet,Entertainment Venues,4104,1381
Q1/2011,11-Mar,W10-2011,Repairs,North America,Retail,Entertainment Venues,2063,1374
Q1/2011,11-Mar,W10-2011,Portable Electronics,North America,Direct,Entertainment Venues,13666,11674
Q1/2011,11-Mar,W10-2011,Portable Electronics,North America,Retail,Entertainment Venues,3501,4224
Q1/2011,11-Mar,W10-2011,Portable Electronics,North America,Retail,Internet Direct,10048,6106
Q1/2011,11-Mar,W11-2011,Computers & Tablets,North America,Direct,Entertainment Venues,25099,32114
Q1/2011,11-Mar,W11-2011,Computers & Tablets,North America,Retail,Retail,10227,14150
Q1/2011,11-Mar,W11-2011,TV & Home Theatre,North America,Retail,Internet Direct,68209,44133
Q1/2011,11-Mar,W11-2011,Cameras,North America,Direct,Entertainment Venues,22675,18688
Q1/2011,11-Mar,W11-2011,Cameras,North America,Direct,Internet Direct,89182,40102
Q1/2011,11-Mar,W11-2011,Cameras,North America,Internet,Retail,10061,11930
Q1/2011,11-Mar,W11-2011,Cameras,North America,Retail,Entertainment Venues,2331,2305
Q1/2011,11-Mar,W11-2011,Cameras,North America,Retail,Internet Direct,70199,47393
Q1/2011,11-Mar,W11-2011,Mobile,North America,Direct,Entertainment Venues,4446,2305
Q1/2011,11-Mar,W11-2011,Mobile,North America,Direct,Internet Direct,9717,5755
